file_name,actress,archetype,situ,max_f0,min_f0,f0_range,f0_dev,sentence_type,,,,
bigsleep_3,Bacall,femmefatale,casual_cynical,176,107,69,16,d,,,,
bigsleep_4,Bacall,femmefatale,confront,234,112,122,26,d,,,,
bigsleep_5,Bacall,femmefatale,casual_cynical,178,106,72,24,e,,,,
bigsleep_6,Bacall,femmefatale,casual_mys,219,134,85,29,wh,,,,
bigsleep_7,Bacall,femmefatale,confront,198,112,86,22,wh,,,,
bigsleep_8,Bacall,femmefatale,casual_cynical,162,109,53,12,d,,,,
bigsleep_9,Bacall,femmefatale,casual_mys,184,102,82,22,d,,,,
bigsleep_10,Bacall,femmefatale,casual_mys,236,146,90,18,yn,,,,
bigsleep_11,Bacall,femmefatale,casual_mys,199,122,77,20,d,,,,
bigsleep_12,Bacall,femmefatale,casual_mys,176,117,59,12,d,,,,
bigsleep_13,Bacall,femmefatale,casual_cynical,149,106,43,10,d,,,,
bigsleep_15,Bacall,femmefatale,casual_cynical,186,132,54,14,yn,,,,
bigsleep_16,Bacall,femmefatale,casual_mys,173,115,58,12,d,,,,
bigsleep_17,Bacall,femmefatale,casual_cynical,291,123,168,45,yn,,,,
bigsleep_18,Bacall,femmefatale,casual_mys,150,111,39,11,wh,,,,
bigsleep_19,Bacall,femmefatale,casual_mys,204,128,76,25,d,,,,
bigsleep_20,Bacall,femmefatale,casual_mys,168,119,49,12,d,,,,
bigsleep_21,Bacall,femmefatale,casual_mys,170,120,50,17,d,,,,
bigsleep_22,Bacall,femmefatale,casual_mys,204,130,74,21,d,,,,
bigsleep_23,Bacall,femmefatale,casual_mys,203,115,88,29,wh,,,,
bigsleep_24,Bacall,femmefatale,casual_mys,189,123,66,21,d,,,,
bigsleep_25,Bacall,femmefatale,casual_mys,155,112,43,11,d,,,,
bigsleep_26,Bacall,femmefatale,casual_mys,167,106,61,18,d,,,,
bigsleep_27,Bacall,femmefatale,confront,265,127,138,39,d,,,,
bigsleep_28,Bacall,femmefatale,casual_cynical,194,116,78,18,yn,,,,
bigsleep_29,Bacall,femmefatale,casual_mys,237,115,122,30,yn,,,,
bigsleep_30,Bacall,femmefatale,casual_mys,224,128,96,26,d,,,,
bigsleep_31,Bacall,femmefatale,casual_mys,173,116,57,13,d,,,,
bigsleep_32,Bacall,femmefatale,casual_mys,152,110,42,11,d,,,,
designing_1,Bacall,independent,casual_light,259,80,179,52,d,,,,
designing_2,Bacall,independent,casual_light,358,85,273,89,d,,,,
designing_3,Bacall,independent,casual_light,216,94,122,33,d,,,,
designing_4,Bacall,independent,casual_light,247,94,153,38,d,,,,
designing_7,Bacall,independent,casual_light,384,95,289,63,wh,,,,
designing_8,Bacall,independent,casual_light,301,101,200,45,d,,,,
designing_9,Bacall,independent,confront,390,146,244,70,d,,,,
designing_10,Bacall,independent,confront,334,123,211,33,d,,,,
designing_11,Bacall,independent,casual_light,260,92,168,41,d,,,,
designing_12,Bacall,independent,casual_light,336,163,173,36,d,,,,
designing_13,Bacall,independent,casual_light,314,105,209,66,d,,,,
designing_14,Bacall,independent,confront,239,97,142,40,d,,,,
